Country,Covar,MeanValue
VEN,IPL_travelTime,1830.16518176726
VEN,IPL_popDens,11.71518165083
VEN,buff10_elevation,176.667408267075
VEN,buff10_slope,1.99231500237004
VEN,buff10_travelTime,1712.23546291675
VEN,buff10_popDens,39.6336228740542
VNM,IPL_elevation,625.949120244165
VNM,IPL_slope,10.8766259432536
VNM,IPL_travelTime,113.689752702485
VNM,IPL_popDens,93.1964581814284
VNM,buff10_elevation,315.059618877531
VNM,buff10_slope,5.05010012592844
VNM,buff10_travelTime,549.79319288687
VNM,buff10_popDens,310.471488894096
