Scenario,Country,Taxa,Area,Value,pValue
IR,UGA,Aves,buff10,1.42624883626809E-06,0
IR,UGA,Mammalia,buff10,8.76701021010569E-06,0
IR,UGA,Reptilia,buff10,1.72058424376104E-06,0
IR,USA,All,buff10,-0.00033382026242,0
IR,USA,All,buff50,-0.000299939305276,0
IR,USA,All,out,3.66305910674709E-05,0
IR,USA,Amphibia,buff10,0,1
IR,USA,Aves,buff10,-0.00033456706418,0
IR,USA,Mammalia,buff10,2.30497294231787E-05,0
IR,USA,Reptilia,buff10,7.47763670143413E-07,0
IR,VEN,All,buff10,-6.30058162459227E-07,0
IR,VEN,All,buff50,-8.23733605257276E-07,0
IR,VEN,All,out,-1.34445031158241E-06,0
IR,VEN,Amphibia,buff10,-2.84382155921615E-05,0
IR,VEN,Aves,buff10,-2.68552110256945E-07,0
IR,VEN,Mammalia,buff10,-3.35879355885664E-07,0
IR,VEN,Reptilia,buff10,-3.06908470746462E-06,0
IR,VNM,All,buff10,-5.85722036535467E-07,0
IR,VNM,All,buff50,-1.48747879246758E-07,0.165
IR,VNM,All,out,1.55511132748278E-07,0.11
IR,VNM,Amphibia,buff10,-1.73868214262632E-06,0.33
IR,VNM,Aves,buff10,-6.85439028414422E-08,0
IR,VNM,Mammalia,buff10,2.81552799106356E-07,0.688
IR,VNM,Reptilia,buff10,-1.05168800337106E-05,0
