Scenario,Country,Taxa,Area,Min,TukeyLH,Median,TukeyUH,Max
IR,MYS,All,IPL,9.72891712081037e-07,1.75239233612956e-06,2.15670752368169e-06,3.13317173095129e-06,0.00466766441240907
IR,NCL,All,IPL,0,4.65267730760388e-05,6.02620493737049e-05,8.94241384230554e-05,0.00542659405618906
IR,NGA,All,IPL,2.65015671629953e-07,4.48957166554465e-07,8.31866088901734e-07,1.64733137353323e-06,2.09462577913655e-05
IR,NIC,All,IPL,9.01612907000526e-07,1.91896310752782e-06,2.30734372053121e-06,2.62216804003401e-06,8.06367097538896e-05
IR,NPL,All,IPL,9.17322040550062e-07,1.42276621772908e-06,2.52021277447057e-06,3.84855547963525e-06,1.38857767524314e-05
IR,PAK,All,IPL,3.70689826922899e-06,1.10177961687441e-05,1.58700058818795e-05,1.84878572326852e-05,0.000365232845069841
IR,PAN,All,IPL,1.73879959675105e-06,3.2797877338453e-06,4.65560242446372e-06,8.80849438544828e-06,0.000644679996185005
IR,PER,All,IPL,3.00669171338086e-07,4.53953646228911e-07,5.49853496067954e-07,9.74064391812135e-07,0.0064245187677443
IR,PHL,All,IPL,1.17959541512391e-06,6.98731582815526e-06,9.04162425285904e-06,1.38673394758371e-05,0.00181610719300807
IR,PRY,All,IPL,4.80790163237543e-07,1.15891316454509e-06,1.21457094337529e-06,1.30558260025282e-06,3.23413496516878e-06
IR,RWA,All,IPL,2.13987959796214e-06,7.74587942942162e-06,9.26628808883833e-06,1.00972847576486e-05,5.74640325794462e-05
IR,SLV,All,IPL,2.05916671802697e-06,3.06407673633657e-06,3.27663235566433e-06,3.59269756700087e-06,0.000113110218080692
IR,SUR,All,IPL,3.39047943498372e-07,3.96860258433662e-07,4.28082472581082e-07,4.52213811286129e-07,2.88412093141233e-06
IR,TGO,All,IPL,3.63429279559568e-07,3.70833333818155e-07,4.30682177920971e-07,6.24544554739259e-07,1.66198685747077e-06
IR,THA,All,IPL,5.4924942105572e-07,9.13110511646664e-07,1.06730294646695e-06,1.3824504776494e-06,0.00174487882759422
IR,TWN,All,IPL,3.26488498103572e-06,6.4084010773513e-06,8.39001768326853e-06,1.30408798213466e-05,0.000175979119376279
IR,TZA,All,IPL,4.18332149365597e-07,2.73048726739944e-06,7.80367463448783e-06,1.30463968162076e-05,2.56242656178074e-05
IR,UGA,All,IPL,3.98052293348883e-07,2.54070550909091e-06,5.38791300641606e-06,9.09122718439903e-06,5.75262965867296e-05
IR,USA,All,IPL,9.16181397769833e-06,1.22302071758895e-05,1.31519409478642e-05,1.46086049426231e-05,0.00214931345544755
IR,VEN,All,IPL,2.62084938640328e-07,3.62848737722743e-07,4.27812409498074e-07,7.24570355714605e-07,0.00034239876549691
IR,VNM,All,IPL,5.67101096748957e-07,1.42073321285352e-06,1.7685083548713e-06,3.20640538120643e-06,0.00202571507543325
